alpha,beta,a0,nu_a0,w0,w1,w2,w3,nu_w0,nu_w1,nu_w2,nu_w3,alpha_var,beta_var,a0_var,nu_a0_var,w0_var,w1_var,w2_var,w3_var,nu_w0_var,nu_w1_var,nu_w2_var,nu_w3_var,posterior_q25_alpha,posterior_q975_alpha,posterior_q25_beta,posterior_q975_beta,posterior_q25_a0,posterior_q975_a0,posterior_q25_nu_a0,posterior_q975_nu_a0,posterior_q25_w0,posterior_q975_w0,posterior_q25_w1,posterior_q975_w1,posterior_q25_w2,posterior_q975_w2,posterior_q25_w3,posterior_q975_w3,posterior_q25_nu_w0,posterior_q975_nu_w0,posterior_q25_nu_w1,posterior_q975_nu_w1,posterior_q25_nu_w2,posterior_q975_nu_w2,posterior_q25_nu_w3,posterior_q975_nu_w3,mean_subject_true_a,sd_subject_true_a,mean_subject_true_w0,mean_subject_true_w1,mean_subject_true_w2,mean_subject_true_w3,sd_subject_true_w0,sd_subject_true_w1,sd_subject_true_w2,sd_subject_true_w3,num_trials,num_subjects
4.120464,0.39618307,0.9867228,0.023598943,0.00681031,0.058403276,-0.16939856,0.7206504,1.0251052,1.1025084,0.83693224,1.0668736,0.82345223,0.01043606,3.3713233e-05,2.412768e-05,0.02212469,0.025323024,0.01519627,0.024456618,0.01133426,0.012979826,0.007632274,0.012009501,2.638956183195114,6.242773902416229,0.2343617431819439,0.638829892873764,0.9766207173466682,0.9965685188770295,0.014959389949217439,0.03355352571234107,-0.27443238645792006,0.297413796186447,-0.2514087535440922,0.3649691730737686,-0.41912609338760376,0.08498728871345516,0.41005923449993137,1.0336547911167144,0.8393868446350098,1.244402176141739,0.9081254556775094,1.3554373949766159,0.6821145117282867,1.0291003286838531,0.8821079343557358,1.3080966591835022,0.97831756,0.015685774,0.014994278,0.04605912,-0.18759748,0.70882374,0.9972296,1.0487499,0.7956794,1.0235443,2500,50
5.8136644,0.6379383,0.9811499,0.03147213,-0.13075663,-0.1662777,-0.28466162,0.85474366,1.0550029,1.1091307,0.87053275,1.040402,2.3012688,0.028022395,7.118668e-05,3.9863142e-05,0.022455556,0.023927655,0.014588046,0.021509834,0.012991518,0.012802698,0.00852706,0.011977387,3.452705293893814,9.41796689033508,0.369790867716074,1.0185551404953002,0.9671374201774597,0.9984835922718048,0.021876731794327496,0.045137077756226066,-0.40890460535883905,0.1748167816549539,-0.45891567766666413,0.14401213936507698,-0.5049612253904343,-0.05759228393435483,0.574887153506279,1.148659884929657,0.8687343016266823,1.3192068785429,0.9121496871113777,1.347709372639656,0.7116445109248162,1.0677448630332946,0.8589984714984894,1.3048753172159195,0.97088134,0.018666087,-0.11574253,-0.1614682,-0.2842908,0.8398091,1.0205454,1.0546626,0.84260017,0.98598737,2500,50
7.5045843,0.66138715,0.98476285,0.02142629,0.12536639,0.3928847,-0.115358636,0.4733553,1.2504239,1.1057026,1.0830297,1.1717798,1.7716068,0.018217688,3.2146025e-05,1.9790199e-05,0.030055847,0.026538635,0.02495111,0.026138207,0.01556784,0.014106864,0.012222417,0.014451399,4.812400460243225,9.83381175994873,0.4141670912504196,0.9111406773328781,0.9754173085093498,0.9963296413421631,0.014151049591600896,0.030574545962736007,-0.20783439017832278,0.4704184398055076,0.08630988970398903,0.7230913221836088,-0.40540322884917257,0.21049431152641773,0.1470976449549198,0.795418444275856,1.0432615339756013,1.5373049348592758,0.9070101678371429,1.3497302174568175,0.8877116471529007,1.3109482556581495,0.9695446237921714,1.444704622030258,0.97500163,0.01723912,0.13238357,0.36564323,-0.11126461,0.47990134,1.1988254,1.0718719,1.0471042,1.1320744,2500,50
6.589353,0.58970034,0.9889177,0.027223824,0.031116828,-0.024407305,-0.4545795,0.46948183,0.9784665,1.060086,1.023784,0.8913388,1.9374009,0.019104866,5.0658953e-05,2.5394698e-05,0.02073157,0.021854848,0.020842908,0.01707731,0.010297475,0.012606573,0.011000216,0.008306707,4.153621959686279,9.346345663070677,0.359672823548317,0.8824572160840034,0.9753517642617225,0.9995609939098358,0.018727755500003697,0.037805835250765085,-0.2537394493818283,0.31585488840937614,-0.31807002127170564,0.25442399159073825,-0.7288788303732872,-0.17268287166953095,0.21524912640452384,0.7172197803854943,0.7967094764113426,1.1959978938102722,0.8684787333011628,1.2991630017757416,0.8444781213998794,1.2615819305181504,0.730027773976326,1.0838814944028854,0.97727764,0.0144942,0.02564769,-0.028078666,-0.44064006,0.47610527,0.9446727,1.0228839,0.97838974,0.839495,2500,50
5.9688053,0.5888278,0.9792741,0.017113363,0.17454065,0.2914955,-0.54145706,0.5364376,1.1485515,1.0512896,1.089485,1.1098318,1.4907359,0.014475361,1.5486698e-05,1.293365e-05,0.02722723,0.022843214,0.024665885,0.024061894,0.015104749,0.011287947,0.013309802,0.014126422,3.871390253305435,8.901079678535462,0.39023216143250467,0.8578243255615234,0.9730069994926452,0.988790613412857,0.011741149937734008,0.025323700020089743,-0.16064016856253147,0.4791154809296129,0.012229417264461523,0.5921445190906524,-0.8438526600599289,-0.23305357694625856,0.21897996440529824,0.831330259144306,0.9547287732362747,1.430670377612114,0.8562511265277862,1.2813423097133636,0.8850346967577934,1.3468649953603744,0.9061607047915459,1.3819522887468336,0.97682446,0.014462712,0.15565869,0.29916722,-0.52874005,0.5292616,1.0896683,1.0254103,1.0657457,1.0517604,2500,50
4.8415337,0.44684348,0.99113655,0.028976608,-0.037740633,0.28090215,-0.22535676,0.43410543,0.82536846,1.0296245,1.0649109,0.99244946,0.98659295,0.010376258,6.615624e-05,3.6588448e-05,0.013416627,0.02290717,0.025175693,0.020608239,0.007272734,0.011867497,0.011909475,0.010524887,3.2058558464050293,7.098034286499023,0.2852503627538681,0.6762225732207298,0.9761576130986214,0.9998314380645752,0.017625458352267743,0.03975116992369294,-0.26226860135793684,0.18778150565922255,-0.010772564262151707,0.5628894567489624,-0.5355787158012391,0.08661121986806376,0.14184654727578164,0.7236866101622581,0.6776812821626663,1.0141944468021393,0.8414137661457062,1.2767097979784012,0.8751104980707168,1.3040584057569504,0.8124929264187812,1.2074018329381941,0.9749988,0.017479256,-0.030338125,0.2897048,-0.20333286,0.44127813,0.7964323,0.98571,1.0395751,0.97620606,2500,50
6.96645,0.6633454,0.98899883,0.025522763,0.09396892,0.22953385,-0.12190073,0.68620497,1.0582209,1.0295554,0.8883378,0.96869624,2.1052916,0.022841146,3.5880556e-05,2.3215049e-05,0.022886282,0.020528188,0.016164223,0.01970874,0.010901551,0.010750841,0.008301647,0.010531136,4.507001292705536,9.690005421638489,0.4026572436094284,0.9582464382052421,0.9778437450528145,0.9993503406643868,0.01695126770064235,0.035457322653383014,-0.2075575776398182,0.40931728333234774,-0.05564193576574325,0.509036836028099,-0.363780365139246,0.13676236830651753,0.4033165633678436,0.9519457459449768,0.8772519081830978,1.2834831535816191,0.8504471853375435,1.2567083954811096,0.729115155339241,1.0816507816314698,0.7916264906525612,1.1875380396842954,0.9776799,0.016821062,0.07410376,0.21913777,-0.12215874,0.6934027,1.0204062,0.9930931,0.8877398,0.9469587,2500,50
4.369635,0.43291664,0.98662984,0.021473726,0.1380353,0.43979236,-0.19249125,0.54959303,0.93701166,1.0863781,0.8458382,0.9138965,0.8099001,0.010148754,3.173242e-05,1.7700648e-05,0.017595593,0.022833442,0.013453671,0.016753899,0.009030638,0.012759827,0.00800545,0.008679536,2.8814099371433257,6.343087077140807,0.27340240925550463,0.658179225027561,0.9769969806075096,0.9984075993299484,0.01445225600618869,0.031398783717304465,-0.11027911230921746,0.4140514314174652,0.14022537767887117,0.7350655764341354,-0.4226608619093895,0.03818501755595207,0.2874072894454002,0.806398668885231,0.7806856691837311,1.143276333808899,0.8847989246249199,1.3364606767892837,0.7013717621564866,1.045730200409889,0.7539562404155731,1.1081051766872405,0.9787493,0.015376355,0.13235758,0.4285567,-0.16819435,0.5573606,0.9117262,1.071872,0.8358607,0.8929714,2500,50
6.972956,0.6778168,0.9804051,0.020702457,0.15323038,0.16225928,-0.32460934,0.5234678,0.9999532,0.90609306,0.8569546,0.9938443,1.9793069,0.025415799,4.1990545e-05,3.2965327e-05,0.019384561,0.017525032,0.014022079,0.019453626,0.01028551,0.008490034,0.0077642663,0.010967473,4.530405521392822,9.704327869415284,0.40368077754974363,0.9916375651955605,0.971739487349987,0.9967442244291306,0.012845327518880368,0.0343258504755795,-0.12866840958595277,0.4191686697304249,-0.09885926954448224,0.4126815006136893,-0.5536352142691612,-0.0882026910781861,0.2546244688332081,0.800573207437992,0.8246262818574905,1.2213556230068205,0.7374942421913147,1.103800010681152,0.7005759313702583,1.0472697347402573,0.8192965656518936,1.236460691690445,0.9756049,0.015385684,0.1425835,0.15838723,-0.30287722,0.50537544,0.96522415,0.875832,0.8307982,0.9538188,2500,50
6.680294,0.64712274,0.9867636,0.028983092,0.017418584,0.0916256,-0.371552,0.50283796,0.92226094,1.0202274,0.9250227,1.035254,2.0058572,0.02335764,3.832053e-05,2.6456462e-05,0.016602118,0.020344794,0.01749142,0.021695567,0.0089885695,0.011480566,0.008949795,0.012657371,4.142271625995636,9.551427006721495,0.37263987138867377,0.9592016279697418,0.9745569959282875,0.9970086336135864,0.019543812749907373,0.03984282836318016,-0.23750010319054127,0.27225749790668485,-0.2062634639441967,0.354677627235651,-0.6417179718613625,-0.10522041618824012,0.20937411040067672,0.7857968047261237,0.7613382324576378,1.1343576520681382,0.8326453864574432,1.2447285622358322,0.7633443862199784,1.1224501430988312,0.8454376086592674,1.2938266783952712,0.97437453,0.017652234,0.014392381,0.10188508,-0.37224063,0.4983079,0.8982136,1.000366,0.8965962,0.9977699,2500,50
