mu_sigmasq,beta_sigmasq,sigma_mu_x,mu_a,sigma_a,w0,w1,w2,sigma_w0,sigma_w1,sigma_w2,mu_sigmasq_var,beta_sigmasq_var,mu_a_var,sigma_a_var,w0_var,w1_var,w2_var,sigma_w0_var,sigma_w1_var,sigma_w2_var,posterior_q25_mu_sigmasq,posterior_q975_mu_sigmasq,posterior_q25_beta_sigmasq,posterior_q975_beta_sigmasq,posterior_q25_sigma_mu_x,posterior_q975_sigma_mu_x,posterior_q25_mu_a,posterior_q975_mu_a,posterior_q25_sigma_a,posterior_q975_sigma_a,posterior_q25_w0,posterior_q975_w0,posterior_q25_w1,posterior_q975_w1,posterior_q25_w2,posterior_q975_w2,posterior_q25_sigma_w0,posterior_q975_sigma_w0,posterior_q25_sigma_w1,posterior_q975_sigma_w1,posterior_q25_sigma_w2,posterior_q975_sigma_w2,mean_subject_true_a,sd_subject_true_a,mean_subject_true_w0,mean_subject_true_w1,mean_subject_true_w2,sd_subject_true_w0,sd_subject_true_w1,sd_subject_true_w2,num_trials,num_subjects
0.23118083,0.45861495,0.5241856,0.9720146,0.027392004,-0.14826038,0.27944607,-0.11338737,1.0039188,1.0089285,1.0183916,0.0003628105,0.003562053,4.8441634e-05,2.9378249e-05,0.0052126627,0.005192772,0.005789598,0.0025047676,0.00275057,0.0028220175,0.1965932622551918,0.2712979711592197,0.3530994586646557,0.5863484606146813,0.4158813998103142,0.6336541011929512,0.9621959313750267,0.9894543260335922,0.01833934336900711,0.03901987662538886,-0.286026793718338,-0.004811122640967429,0.14173344187438489,0.4135571539402007,-0.26778080090880396,0.02887104097753763,0.9083673566579819,1.1056039094924928,0.9188674539327621,1.120250603556633,0.9188817277550697,1.1257752478122711,0.9632141,0.021454956,-0.14040646,0.25519225,-0.08646222,0.9743277,0.9836418,0.9732056,500,200
0.21547382,0.3427185,0.5992182,0.9696075,0.020453863,0.17104584,0.122629784,-0.071034156,1.0886658,1.0282884,0.93177134,0.0004215143,0.0046175816,1.890231e-05,2.2182101e-05,0.005575824,0.0055874516,0.0041154297,0.0034017572,0.0028796159,0.0023730393,0.17849994860589505,0.26051702499389645,0.2329410206526518,0.5040517032146453,0.49441340640187265,0.7122402936220169,0.9632730081677436,0.9802223324775696,0.013319296855479478,0.03182503432035446,0.024800045415759094,0.3140047945082187,-0.03544022403657436,0.26322479918599123,-0.19617332518100739,0.05515141673386089,0.9826470673084259,1.2153417110443114,0.9286020040512085,1.1384787023067475,0.8393723949790001,1.0369152069091796,0.9658604,0.019804385,0.158563,0.13015802,-0.06286355,1.0675209,1.0173805,0.91446376,500,200
0.20142011,0.43835476,0.5639805,0.97713125,0.02491484,-0.1777443,0.20027412,-0.014391339,1.0377821,1.0290594,0.99403644,0.00019123373,0.0062224627,5.5247303e-05,3.7963684e-05,0.005465137,0.00525386,0.004503558,0.0029933401,0.0030518551,0.0026064455,0.17707816027104856,0.2302269838750362,0.3100995272397995,0.5911063686013222,0.45804556980729105,0.6835038796067238,0.9665953472256661,0.9932958811521531,0.01375142929609865,0.036407200433313844,-0.32255569100379944,-0.026166213303804406,0.06580721866339445,0.35279378145933143,-0.15020610801875592,0.12024272587150334,0.9381476938724518,1.1502801030874252,0.9255746111273766,1.1508569687604904,0.9018808394670487,1.1014859199523925,0.96712035,0.020766515,-0.17563155,0.19828208,-0.03906929,1.0324868,1.0109943,0.9852399,500,200
0.22005741,0.43482563,0.57305694,0.976824,0.032329354,-0.05081264,0.31829348,-0.16462107,0.97924644,1.0646567,0.9304688,0.00029977306,0.006096218,5.671467e-05,3.035283e-05,0.004705963,0.006011677,0.004580715,0.0025892197,0.0029238611,0.0022359253,0.1934786643832922,0.25811022222042085,0.2972586251795292,0.6029280513525007,0.47833542302250864,0.6751468539237976,0.9646519228816033,0.9934047132730484,0.022763934591785072,0.04404052346944809,-0.18600754253566265,0.08346527684479951,0.16834107786417007,0.47228520959615705,-0.30403649285435674,-0.030233190581202527,0.8815758168697357,1.0788313269615173,0.9656791865825654,1.1751823663711547,0.8467552125453949,1.0252368807792664,0.9610994,0.0237783,-0.05861853,0.3227522,-0.16569991,0.98542804,1.03532,0.938998,500,200
0.2279081,0.48524287,0.5116262,0.9745189,0.029533254,-0.16484368,0.12594311,-0.11924189,1.0710138,1.021198,1.0368488,0.00027572055,0.005415127,5.4252716e-05,3.4866654e-05,0.005902957,0.005428905,0.005609259,0.0029435307,0.0028318425,0.003151191,0.1993651930242777,0.26412358209490777,0.3621706448495388,0.6474279507994651,0.4158150844275951,0.59977837651968,0.9634421586990356,0.9911075577139854,0.018212110036984086,0.041260687354952086,-0.3212295204401016,-0.01314336583018307,-0.019697332195937632,0.2713782824575901,-0.2652654811739922,0.02738942839205258,0.97072624117136,1.1841863334178924,0.9229355424642562,1.1366346269845962,0.9349439978599549,1.1549099504947662,0.9652277,0.019743918,-0.17250636,0.12974676,-0.12371231,1.0710188,0.99822927,1.0437021,500,200
0.21986565,0.54128414,0.52263445,0.9687202,0.024596276,-0.020432916,0.22093041,-0.1372787,1.0451905,1.0451546,1.0320863,0.00022141494,0.011272444,2.8389346e-05,2.9487186e-05,0.0058317096,0.005776535,0.0054702973,0.0032142794,0.0032385471,0.0027624802,0.19549608118832112,0.2519320577383041,0.3708851933479309,0.7845142155885696,0.4282301560044289,0.624826355278492,0.9617171600461006,0.9829446464776993,0.016336219385266304,0.037287140823900694,-0.17188810631632806,0.12572544179856765,0.0688625443726778,0.3658674076199532,-0.2747866913676262,0.005410465970635406,0.9403985619544983,1.1592842876911162,0.9482081189751626,1.1635401934385299,0.9317468479275703,1.141831460595131,0.9638138,0.020180989,-0.012569954,0.21788993,-0.11641175,1.0312012,1.0133859,1.0134914,500,200
0.19513041,0.46535757,0.49879918,0.9749955,0.029397467,0.0012508816,0.20392312,-0.09861106,0.98977715,1.0443252,1.0393262,0.00020902003,0.006472465,6.0537237e-05,4.1077386e-05,0.005076217,0.0055183982,0.0054280753,0.0026093756,0.002991299,0.002907595,0.169864459335804,0.22550467886030673,0.3145951829850674,0.6191726684570312,0.41254128217697145,0.5915387690067291,0.9640011191368103,0.9916753619909286,0.019152765208855272,0.0420932981185615,-0.1308849573135376,0.13605999574065206,0.06631025373935699,0.34779092371463766,-0.2520874567329884,0.04772193450480698,0.8972886443138123,1.0961746662855147,0.9439429312944412,1.1527953147888184,0.9369477793574333,1.146496644616127,0.9631244,0.021592095,0.007637782,0.19866878,-0.10284162,0.9902721,1.0101603,1.0287136,500,200
0.21505223,0.43177742,0.6157414,0.9705625,0.028719515,-0.00057257357,0.11495313,-0.129418,1.038347,1.0107543,1.0478687,0.000283641,0.004364982,4.9604307e-05,2.8473845e-05,0.0052698622,0.00503617,0.0054217055,0.0029210588,0.0030020294,0.0029161312,0.18744714558124542,0.2541495136916637,0.31518727615475656,0.5734470844268799,0.5145414352416993,0.7268970921635628,0.961377976834774,0.9905089512467384,0.020530810998752713,0.041291730385273694,-0.13266688883304595,0.1451523322612047,-0.022698299586772917,0.24607534483075136,-0.2793742723762989,0.00705719776451577,0.9371949702501297,1.143175169825554,0.9083291977643967,1.127335113286972,0.9489031836390496,1.1607289165258408,0.9647604,0.019922607,0.015515704,0.123125285,-0.14353187,1.0095425,0.9907722,1.0235367,500,200
0.20302325,0.54091585,0.51647544,0.9675723,0.0236243,-0.00442363,0.15238386,0.107131295,1.0603791,0.96279764,0.9926662,0.00018709384,0.012401442,3.6966198e-05,4.495666e-05,0.005535513,0.0045464267,0.0046600504,0.00333721,0.0026467808,0.0025800273,0.17970699444413185,0.23428782187402247,0.3396448835730553,0.7951465010643004,0.4222935400903225,0.6117976382374763,0.9604235336184501,0.9844848141074181,0.015083931013941764,0.03962514670565724,-0.1547130573540926,0.14532522708177567,0.01043570451438427,0.2829195275902747,-0.024763819202780722,0.24439788907766336,0.9569627523422242,1.1775982618331908,0.870545494556427,1.068628627061844,0.9058059379458427,1.0972151815891265,0.9631326,0.021358315,0.0022980832,0.16761905,0.10155751,1.0511087,0.964021,0.9871618,500,200
0.21346347,0.45485583,0.5044793,0.9692309,0.022206755,-0.09021773,0.20288984,-0.21037206,0.9577625,1.0516906,1.0622339,0.00025729742,0.005829694,2.1629286e-05,2.1056136e-05,0.004611844,0.005552751,0.0057786517,0.0025381818,0.0031227185,0.0029492583,0.18732974603772162,0.24908671490848064,0.32879609167575835,0.6107124373316765,0.4135407879948616,0.6156639695167542,0.9630954101681709,0.9814426213502884,0.014978356077335775,0.033013750053942206,-0.22969250865280627,0.04632435981184244,0.05675144568085671,0.3547546111047268,-0.3556120276451111,-0.058503458276391036,0.8666379123926162,1.0642339527606963,0.9509548142552375,1.1660580962896347,0.963144700229168,1.17644359767437,0.9650473,0.019753754,-0.095395274,0.17873336,-0.19122083,0.97430277,1.0665292,1.0462645,500,200
