alpha,beta,a0,nu_a0,w0,w1,w2,w3,nu_w0,nu_w1,nu_w2,nu_w3,alpha_var,beta_var,a0_var,nu_a0_var,w0_var,w1_var,w2_var,w3_var,nu_w0_var,nu_w1_var,nu_w2_var,nu_w3_var,posterior_q25_alpha,posterior_q975_alpha,posterior_q25_beta,posterior_q975_beta,posterior_q25_a0,posterior_q975_a0,posterior_q25_nu_a0,posterior_q975_nu_a0,posterior_q25_w0,posterior_q975_w0,posterior_q25_w1,posterior_q975_w1,posterior_q25_w2,posterior_q975_w2,posterior_q25_w3,posterior_q975_w3,posterior_q25_nu_w0,posterior_q975_nu_w0,posterior_q25_nu_w1,posterior_q975_nu_w1,posterior_q25_nu_w2,posterior_q975_nu_w2,posterior_q25_nu_w3,posterior_q975_nu_w3,mean_subject_true_a,sd_subject_true_a,mean_subject_true_w0,mean_subject_true_w1,mean_subject_true_w2,mean_subject_true_w3,sd_subject_true_w0,sd_subject_true_w1,sd_subject_true_w2,sd_subject_true_w3,num_trials,num_subjects
5.090836,0.40886116,0.9703427,0.018562997,0.07186249,0.121079795,-0.43005618,0.49577114,0.896674,0.9212256,0.9223346,0.96320564,1.1143934,0.009915505,7.329381e-06,1.2940232e-05,0.0042719566,0.004601669,0.0046328106,0.005053628,0.0021708934,0.0022793182,0.0023556668,0.002469112,3.3463819861412047,6.838971352577208,0.24652936831116676,0.5851661786437033,0.9658744037151337,0.9767602503299713,0.013056283514015377,0.02812053295783698,-0.04957480207085609,0.202642561122775,-0.007289563864469527,0.2539406508207321,-0.5621214047074318,-0.29310749322175983,0.35757276713848113,0.6387063175439834,0.8097199812531471,0.9909522160887717,0.8317247986793518,1.018147239089012,0.8315463274717331,1.0229123890399934,0.8749868407845497,1.072089385986328,0.97409195,0.017066315,0.059121165,0.120539844,-0.43772277,0.50721544,0.9094279,0.9288426,0.9226485,0.98749363,500,200
4.922243,0.38692486,0.9702442,0.021696584,-0.08588018,0.23926516,-0.22413246,0.6468925,0.90384895,0.9857613,1.0054014,0.94456846,0.4523172,0.0047815037,9.571035e-06,1.5281013e-05,0.0041784043,0.0048360266,0.0049606687,0.004502311,0.0023892608,0.002542678,0.0027976662,0.0024633007,3.6899787306785585,6.306225824356079,0.27278638929128646,0.5355601578950882,0.9651121154427529,0.9774250313639641,0.015464289672672748,0.030320755904540416,-0.21423729695379734,0.04194990117102861,0.10925681330263615,0.3770572811365127,-0.3545285202562809,-0.08681930936872966,0.5145476683974266,0.7801321372389793,0.8175373792648315,1.008370715379715,0.8878898486495018,1.0918146431446076,0.9098642840981483,1.1139733970165253,0.8561554178595543,1.0525297343730926,0.97492325,0.016868299,-0.07781657,0.22910786,-0.22288556,0.64406955,0.9003032,0.9707812,0.9773685,0.9551846,500,200
5.935532,0.50856245,0.9733033,0.008666913,-0.05497654,0.11392896,-0.21299677,0.59843737,1.0361755,0.99760526,0.931566,1.045536,2.1350396,0.02253322,1.974021e-06,3.6531192e-06,0.00517973,0.0054478724,0.0046083797,0.005306496,0.0027534498,0.002842305,0.0023150425,0.002894843,4.189501678943634,9.540936470031738,0.34130887538194654,0.8821213841438293,0.9705096840858459,0.9758483991026878,0.005738046299666166,0.012808396993204947,-0.19111689291894435,0.08790374863892789,-0.029543836787343025,0.26192244514822954,-0.342854405939579,-0.07586526572704318,0.4601746968924999,0.7414245665073395,0.9463772043585778,1.1484979659318924,0.8993068814277649,1.1020209997892378,0.8453736126422882,1.0275989294052124,0.9450736239552497,1.1582439064979553,0.97679764,0.015182942,-0.054687247,0.100493126,-0.19884901,0.5979351,1.0362128,1.0071235,0.9279472,1.0431415,500,200
4.184628,0.34652632,0.973028,0.017932476,-0.017639162,0.2915983,-0.32485956,0.68112504,0.95909137,0.95594037,1.0440531,0.9261784,0.33151078,0.0033026026,8.980345e-06,1.533749e-05,0.0051988605,0.0044675204,0.0054927333,0.004679216,0.0024499858,0.002590495,0.0029155642,0.0023117114,3.1792570054531097,5.401488971710205,0.24338073655962944,0.45876422971487046,0.9685489311814308,0.980709558725357,0.012368089775554836,0.0284953019581735,-0.16136720702052115,0.12672047056257715,0.16463491283357143,0.41903273910284045,-0.4684014916419983,-0.17594150006771092,0.5471998021006584,0.8083146706223487,0.8695019617676735,1.0549946755170823,0.8588871091604233,1.0603338867425918,0.9459385216236115,1.1599881380796433,0.8371167689561844,1.0222249835729598,0.9764215,0.017128466,-0.007479664,0.30146578,-0.33042425,0.68292296,0.95032364,0.9590645,1.0495759,0.9287542,500,200
3.845402,0.30882502,0.9722344,0.017772589,0.09284286,0.18350004,-0.3125893,0.5128164,1.0389061,1.06206,1.0447105,1.0000648,0.3090847,0.003156984,5.97301e-06,1.2267998e-05,0.0057056816,0.0058492385,0.005640234,0.004842379,0.002931828,0.0028579473,0.00304199,0.0029081437,2.8282251715660096,4.943829536437988,0.21724630817770957,0.4163935147225857,0.9680114418268204,0.9778827995061874,0.012440685392357409,0.026600388204678888,-0.05772137735038996,0.23292926810681813,0.04103399123996496,0.3304318442940712,-0.45555209666490554,-0.1685720533132553,0.3679547280073166,0.6498517706990242,0.9415273740887642,1.1528471529483795,0.9623348787426949,1.1695918798446656,0.9415034100413322,1.1614285200834273,0.9055829361081124,1.1152458041906357,0.974543,0.017733932,0.102683425,0.18917643,-0.30947217,0.5099592,1.0303508,1.0657318,1.0247322,0.9912117,500,200
3.1216695,0.24323751,0.9739815,0.012346534,0.06936907,0.29548126,-0.22230476,0.5718407,1.038862,0.9973902,0.934375,0.98674697,0.33421132,0.0029946514,2.3355428e-06,4.984242e-06,0.0054056314,0.005406461,0.004854255,0.0051991646,0.0029875909,0.0027647994,0.002347198,0.0026705714,2.240895074605942,4.435138380527496,0.15983088985085486,0.371219240128994,0.970941872894764,0.9769045248627662,0.008753815782256424,0.016813582042232152,-0.07555093504488468,0.21809437461197376,0.1549157749861479,0.4355465717613697,-0.35765414983034133,-0.0832432556897402,0.4280516251921654,0.7130552113056183,0.9351518452167511,1.1503724962472914,0.898649026453495,1.1133038908243178,0.844732116162777,1.0346292912960053,0.8893028765916824,1.090845674276352,0.97748184,0.01563364,0.07295155,0.29076907,-0.22782043,0.58333516,1.0231864,0.9970924,0.9556307,0.99090636,500,200
4.103412,0.3018717,0.97447664,0.013226985,-0.02308509,0.19404776,-0.2730865,0.5894846,0.99855405,0.938118,0.9253025,0.97750366,0.30588326,0.001927679,2.6832902e-06,5.1784114e-06,0.0050790035,0.004345716,0.0045744805,0.0050885803,0.0024804762,0.0021694158,0.002261387,0.0026967828,3.0092732906341553,5.162116694450378,0.22142432443797588,0.38654748499393465,0.9712878793478013,0.9778437092900276,0.009190174448303879,0.018086478440091012,-0.16734354980289937,0.12046773545444012,0.06484110280871391,0.3230769418179988,-0.398194445669651,-0.13616316691040994,0.4452951855957508,0.729604123532772,0.9093657150864601,1.1026659041643143,0.8505742266774178,1.0335792392492293,0.8358482509851456,1.0217181712388992,0.884751845896244,1.088232445716858,0.97614837,0.017946284,-0.0131904865,0.2070707,-0.27685067,0.608044,1.0133606,0.95562506,0.95471835,0.9968836,500,200
3.3467288,0.2591259,0.97317374,0.020867184,0.11858806,0.22853912,-0.35319093,0.49295786,0.9552259,0.9768461,1.0752817,0.9333034,0.36557204,0.0032047445,1.6984746e-05,2.5084812e-05,0.0044905785,0.004695865,0.0053621186,0.004360217,0.0023266254,0.0026222293,0.0031400432,0.0022964755,2.4157241880893707,4.717314982414245,0.17100986167788507,0.3989714071154594,0.9676303401589393,0.9845580071210861,0.013771631219424308,0.033804933540523045,-0.007375811226665974,0.24987530633807173,0.0951769407838583,0.3653817594051361,-0.4988557413220405,-0.21088042445480826,0.3596419021487236,0.616099353134632,0.8679559484124184,1.0525166004896165,0.8837201923131943,1.0836654961109162,0.9773605391383171,1.1929533541202544,0.8466515645384789,1.0293336302042007,0.9756796,0.016479164,0.122253016,0.2166967,-0.34644964,0.48897704,0.9476103,0.9586027,1.0770161,0.9227329,500,200
4.4499235,0.4210799,0.97838765,0.023686234,0.061489318,0.22453965,-0.26640826,0.68964833,1.0138535,1.0557817,1.01455,0.92640924,0.8010716,0.009969649,3.431543e-05,3.032666e-05,0.004973983,0.006048062,0.004966015,0.004267457,0.0026225597,0.002910205,0.0028411099,0.0024634034,3.034822577238083,6.09563785791397,0.2628004886209965,0.6070093840360642,0.9705631151795387,0.9932447642087936,0.01444281586445868,0.03610466960817575,-0.07594237904995679,0.19387057013809678,0.07309215031564235,0.3744979627430439,-0.3993080794811249,-0.12513062991201881,0.5644516304135323,0.8262240573763847,0.9177759766578675,1.124246609210968,0.9559239640831947,1.1665401101112365,0.9128892496228218,1.122852522134781,0.8360352829098702,1.027408602833748,0.9759342,0.018326724,0.06409808,0.22368522,-0.25866723,0.69424224,1.0003362,1.0573641,1.0267627,0.91113454,500,200
2.968606,0.23175324,0.9730205,0.017912015,0.059232544,0.15051839,-0.25899568,0.66694987,0.97628874,1.0442704,0.9458626,0.9166101,0.25596255,0.0023978692,1.3777831e-05,2.1269605e-05,0.004738694,0.0053452207,0.0045741396,0.0042968425,0.0025168671,0.0029679954,0.0023949554,0.002488349,2.172958081960678,4.116233539581299,0.15537574291229247,0.3361761890351772,0.9682130217552185,0.9842425808310509,0.011443862807936966,0.02966768508777022,-0.08256250061094761,0.19766950346529483,0.0033852642402052886,0.285634609311819,-0.39446967244148257,-0.12882392629981043,0.5381937175989151,0.7948783755302429,0.883578585088253,1.0839263767004013,0.947393436729908,1.1540939182043075,0.854111197590828,1.0469932675361633,0.8242031842470169,1.0259590715169906,0.9764072,0.017151054,0.07025804,0.15862055,-0.2611813,0.6711018,0.9816803,1.0384024,0.9638684,0.91563004,500,200
