"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"1","Shekhar_2021",1,"1","0.61124",0.01,0.01,1,"1",0.505,0.505,"1",0.15058,0.39412,0.15058,1
"2","Shekhar_2021",1,"1","0.79718",0.505,0.505,1,"1",0.01,0.01,"1",0.39412,0.13276,0.39412,1
"3","Shekhar_2021",1,"1","0.9927",-0.505,0.505,-1,"1",0.505,0.505,"1",0.13276,0.40996,0.13276,0
"4","Shekhar_2021",1,"1","0.85172",-0.01,0.01,-1,"-1",0.505,-0.505,"1",0.40996,0.24958,0.40996,0
"5","Shekhar_2021",1,"0","0.77177",-0.01,0.01,-1,"-1",0.01,-0.01,"1",0.24958,0.19612,0.24958,1
"6","Shekhar_2021",1,"1","0.73503",0.505,0.505,1,"-1",0.01,-0.01,"-1",0.19612,0.2575,-0.19612,1
"7","Shekhar_2021",1,"0","0.9092",-1,1,-1,"1",0.505,0.505,"1",0.2575,0.59608,0.2575,1
"8","Shekhar_2021",1,"0","0.73934",-0.01,0.01,-1,"-1",1,-1,"-1",0.59608,0.25354,-0.59608,1
"9","Shekhar_2021",1,"0","0.70447",-0.505,0.505,-1,"-1",0.01,-0.01,"-1",0.25354,0.30502,-0.25354,1
"10","Shekhar_2021",1,"0","0.77299",0.01,0.01,1,"-1",0.505,-0.505,"-1",0.30502,0.43966,-0.30502,0
"11","Shekhar_2021",1,"1","0.76963",1,1,1,"1",0.01,0.01,"-1",0.43966,0.86734,-0.43966,1
"12","Shekhar_2021",1,"1","0.81493",1,1,1,"1",1,1,"1",0.86734,0.84358,0.86734,1
"13","Shekhar_2021",1,"1","0.77508",0.01,0.01,1,"1",1,1,"1",0.84358,0.18622,0.84358,1
"14","Shekhar_2021",1,"0","0.64356",-0.01,0.01,-1,"1",0.01,0.01,"1",0.18622,0.27532,0.18622,1
"15","Shekhar_2021",1,"1","0.78059",0.505,0.505,1,"-1",0.01,-0.01,"-1",0.27532,0.38818,-0.27532,1
"16","Shekhar_2021",1,"1","0.64016",0.505,0.505,1,"1",0.505,0.505,"1",0.38818,0.4555,0.38818,1
"17","Shekhar_2021",1,"0","0.64885",-1,1,-1,"1",0.505,0.505,"1",0.4555,0.58222,0.4555,1
"18","Shekhar_2021",1,"1","0.6815",-0.01,0.01,-1,"-1",1,-1,"-1",0.58222,1,-0.58222,0
"19","Shekhar_2021",1,"0","1.2016",-0.505,0.505,-1,"-1",0.01,-0.01,"1",1,0.78616,1,1
"20","Shekhar_2021",1,"1","0.76546",0.505,0.505,1,"-1",0.505,-0.505,"-1",0.78616,0.69706,-0.78616,1
"21","Shekhar_2021",1,"1","1.0896",0.01,0.01,1,"1",0.505,0.505,"1",0.69706,0.01198,0.69706,1
